Province_State,Country,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
Georgia,US,4/1/2020 21:58,32.00979311,-81.44002948,8,1,0,0,"Bryan, Georgia, US"
Oklahoma,US,4/1/2020 21:58,33.96472458,-96.25903472,1,0,0,0,"Bryan, Oklahoma, US"
Iowa,US,4/1/2020 21:58,42.4709188,-91.83510825,2,0,0,0,"Buchanan, Iowa, US"
Missouri,US,4/1/2020 21:58,39.65816401,-94.80138942,5,0,0,0,"Buchanan, Missouri, US"
Virginia,US,4/1/2020 21:58,37.57242268,-78.52518834,2,0,0,0,"Buckingham, Virginia, US"
Pennsylvania,US,4/1/2020 21:58,40.33682119,-75.10836643,319,6,0,0,"Bucks, Pennsylvania, US"
Nebraska,US,4/1/2020 21:58,40.85486962,-99.07500296,7,1,0,0,"Buffalo, Nebraska, US"
Wisconsin,US,4/1/2020 21:58,44.37835084,-91.75332578,1,0,0,0,"Buffalo, Wisconsin, US"
Kentucky,US,4/1/2020 21:58,37.97162523,-85.68955617,6,1,0,0,"Bullitt, Kentucky, US"
Georgia,US,4/1/2020 21:58,32.39577406,-81.74811421,2,0,0,0,"Bulloch, Georgia, US"
Alabama,US,4/1/2020 21:58,32.10030533,-85.71265535,3,0,0,0,"Bullock, Alabama, US"
North Carolina,US,4/1/2020 21:58,35.61113393,-82.53305,22,1,0,0,"Buncombe, North Carolina, US"
Illinois,US,4/1/2020 21:58,41.40385234,-89.5283051,2,0,0,0,"Bureau, Illinois, US"
Georgia,US,4/1/2020 21:58,33.05917989,-81.99928721,8,0,0,0,"Burke, Georgia, US"
North Carolina,US,4/1/2020 21:58,35.74989637,-81.70755735,6,0,0,0,"Burke, North Carolina, US"
North Dakota,US,4/1/2020 21:58,48.79094471,-102.5182117,2,0,0,0,"Burke, North Dakota, US"
North Dakota,US,4/1/2020 21:58,46.97847375,-100.4645214,32,0,0,0,"Burleigh, North Dakota, US"
Texas,US,4/1/2020 21:58,30.49273808,-96.62158484,1,0,0,0,"Burleson, Texas, US"
New Jersey,US,4/1/2020 21:58,39.87681124,-74.66927768,255,5,0,0,"Burlington, New Jersey, US"
Texas,US,4/1/2020 21:58,30.78801353,-98.181887,3,0,0,0,"Burnet, Texas, US"
Alabama,US,4/1/2020 21:58,31.75300095,-86.68057478,1,0,0,0,"Butler, Alabama, US"
Iowa,US,4/1/2020 21:58,42.73172833,-92.79015971,1,0,0,0,"Butler, Iowa, US"
Kansas,US,4/1/2020 21:58,37.78134351,-96.83878537,5,0,0,0,"Butler, Kansas, US"
Kentucky,US,4/1/2020 21:58,37.20946153,-86.68748787,1,0,0,0,"Butler, Kentucky, US"
Missouri,US,4/1/2020 21:58,36.71462476,-90.40421163,1,0,0,0,"Butler, Missouri, US"
Ohio,US,4/1/2020 21:58,39.44012838,-84.57388716,41,0,0,0,"Butler, Ohio, US"
Pennsylvania,US,4/1/2020 21:58,40.91152759,-79.91351055,64,2,0,0,"Butler, Pennsylvania, US"
California,US,4/1/2020 21:58,39.66727762,-121.6005252,8,0,0,0,"Butte, California, US"
South Dakota,US,4/1/2020 21:58,44.90608745,-103.5079318,0,0,0,0,"Butte, South Dakota, US"
Georgia,US,4/1/2020 21:58,33.2830945,-83.9543504,8,0,0,0,"Butts, Georgia, US"
North Carolina,US,4/1/2020 21:58,35.3877799,-80.55267168,47,1,0,0,"Cabarrus, North Carolina, US"
West Virginia,US,4/1/2020 21:58,38.42424062,-82.23855912,1,0,0,0,"Cabell, West Virginia, US"
Utah,US,4/1/2020 21:58,41.72330587,-111.7443667,7,0,0,0,"Cache, Utah, US"
Louisiana,US,4/1/2020 21:58,32.57991587,-93.88375652,298,7,0,0,"Caddo, Louisiana, US"
Oklahoma,US,4/1/2020 21:58,35.17364557,-98.37534464,1,0,0,0,"Caddo, Oklahoma, US"
California,US,4/1/2020 21:58,38.20537103,-120.552913,3,0,0,0,"Calaveras, California, US"
Louisiana,US,4/1/2020 21:58,30.22931235,-93.35400434,90,1,0,0,"Calcasieu, Louisiana, US"
Missouri,US,4/1/2020 21:58,39.65620858,-93.98308093,1,0,0,0,"Caldwell, Missouri, US"
North Carolina,US,4/1/2020 21:58,35.95204977,-81.54799522,3,0,0,0,"Caldwell, North Carolina, US"
